case_id,agreement_start,product,broker_group,arrangement_type,amount_financed,total_cost_of_credit,commission_paid,apr_percent,commission_disclosed,key_evidence_complete,customer_vulnerability,customer_deceased,duplicate_representatives,existing_resolution,business_purpose,adapted_vehicle,zero_interest,lowest_five_percent_apr,visible_captive_link,complaint_age_days,remediation_status,years_deprived,illustrative_interest_rate,adjusted_credit_cap,reviewer_note,arrangement_reason,indicative_status,evidence_gaps,exclusion_reasons,estimated_loss,hybrid_principal_before_caps,cap_applied,illustrative_principal_redress,illustrative_interest,illustrative_total_redress,review_priority,human_decision_required,calculation_status
MF-011,2009-04-12,Conditional Sale,Online Broker,High commission,11425.0,1599.5,1256.75,18.2,False,False,False,False,False,False,False,False,False,False,False,199,Awaiting rules,8.82,0.05,1055.67,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Further investigation,Key agreement or commission evidence missing,None identified,335.89,796.32,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-012,2009-06-18,PCH,Dealer Group A,DCA,12100.0,2541.0,616,19.5,False,True,False,False,False,False,False,False,False,False,False,216,Evidence gathering,1.09,0.03,1702.47,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,533.61,574.81,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-013,2009-08-24,PCP,Dealer Group B,No flagged arrangement,12775.0,3577.0,659,20.8,False,True,False,False,False,False,False,False,False,False,False,233,Assessment,6.49,0.05,2432.36,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,751.17,705.09,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-014,2009-10-30,Hire Purchase,Independent Dealer,Contractual tie,13450.0,4707.5,702,5.1,False,True,False,False,False,False,False,False,False,False,False,250,QA,11.61,0.03,3248.18,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,988.57,845.29,90% commission cap,631.8,220.06,851.86,Priority,True,Illustrative only — scheme partly suspended
MF-015,2010-01-05,Conditional Sale,Online Broker,High commission,14125.0,2401.25,1553.75,6.4,True,True,False,False,False,False,False,False,False,False,False,267,Awaiting rules,4.27,0.05,1680.88,Fictional agreement created for portfolio demonstration.,High commission thresholds met,No redress indicator,None identified,None identified,504.26,1029.01,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-016,2010-03-13,PCH,Dealer Group A,DCA,14800.0,3552.0,788,7.7,False,True,False,False,False,False,False,False,False,False,False,284,Evidence gathering,9.77,0.03,2521.92,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,745.92,766.96,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-017,2010-05-19,PCP,Dealer Group B,No flagged arrangement,15475.0,4797.25,831,9.0,False,True,True,False,False,False,False,False,False,False,False,301,Assessment,2.02,0.05,3454.02,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,1007.42,919.21,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-018,2010-07-25,Hire Purchase,Independent Dealer,Contractual tie,16150.0,2099.5,874,10.3,False,True,True,False,False,False,False,False,False,False,False,28,QA,7.31,0.03,1532.63,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,440.89,657.44,90% commission cap,657.44,144.18,801.62,Urgent,True,Illustrative only — scheme partly suspended
MF-019,2010-09-30,Conditional Sale,Online Broker,High commission,16825.0,3365.0,1850.75,11.6,False,True,False,False,True,False,False,False,False,False,False,45,Awaiting rules,12.12,0.05,2490.1,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Further investigation,Multiple representatives require resolution,None identified,706.65,1278.7,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-020,2010-12-06,PCH,Dealer Group A,DCA,90000.0,24300.0,960,12.9,True,True,False,False,False,False,False,False,False,False,False,62,Evidence gathering,5.61,0.03,13365.0,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire; High-value loan threshold,5103.0,3031.5,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-021,2011-02-11,PCP,Dealer Group B,No flagged arrangement,4175.0,1419.5,1003,14.2,False,True,False,False,False,False,False,False,False,False,False,79,Assessment,10.99,0.05,794.92,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,298.09,650.54,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-022,2011-04-19,Hire Purchase,Independent Dealer,Contractual tie,4850.0,776.0,1046,15.5,False,False,False,False,False,False,False,False,False,True,False,96,QA,3.72,0.03,442.32,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Excluded / no redress indicator,Key agreement or commission evidence missing,APR in illustrative lowest 5% group,162.96,604.48,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-023,2011-06-25,Conditional Sale,Online Broker,High commission,5525.0,1270.75,607.75,16.8,False,True,False,True,False,False,False,False,False,False,False,113,Awaiting rules,8.44,0.05,737.04,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,266.86,437.31,90% commission cap,437.31,184.54,621.85,Urgent,True,Illustrative only — scheme partly suspended
MF-024,2011-08-31,PCH,Dealer Group A,DCA,6200.0,1860.0,1132,18.1,False,True,False,False,False,False,False,False,False,False,False,130,Evidence gathering,1.34,0.03,1097.4,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,390.6,761.3,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-025,2011-11-06,PCP,Dealer Group B,No flagged arrangement,6875.0,825.0,1175,19.4,True,True,False,False,False,False,False,False,False,False,False,147,Assessment,6.42,0.05,495.0,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,173.25,674.12,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-026,2012-01-12,Hire Purchase,Independent Dealer,Contractual tie,7550.0,1434.5,1218,20.7,False,True,False,False,False,False,False,False,False,False,False,164,QA,11.51,0.03,875.05,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,301.25,759.62,Adjusted credit-cost cap,759.62,262.3,1021.92,Standard,True,Illustrative only — scheme partly suspended
MF-027,2012-03-19,Conditional Sale,Online Broker,High commission,8225.0,2138.5,904.75,5.0,False,True,True,False,False,False,False,False,False,False,False,181,Awaiting rules,4.12,0.05,1325.87,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,449.08,676.91,90% commission cap,676.91,139.44,816.35,Urgent,True,Illustrative only — scheme partly suspended
MF-028,2012-05-25,PCH,Dealer Group A,DCA,8900.0,2937.0,104,6.3,False,True,False,False,False,False,False,False,False,False,False,198,Evidence gathering,9.21,0.03,1850.31,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire; Commission at or below de minimis level,616.77,360.38,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-029,2012-07-31,PCP,Dealer Group B,No flagged arrangement,9575.0,1436.25,147,7.6,False,True,False,False,False,True,False,False,False,False,False,215,Assessment,2.0,0.05,919.2,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,Excluded / no redress indicator,None identified,Prior court/FOS decision or accepted compensation,301.61,224.31,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-030,2012-10-06,Hire Purchase,Independent Dealer,Contractual tie,10250.0,2255.0,190,8.9,True,True,False,False,False,False,False,False,False,False,False,232,QA,7.87,0.03,1465.75,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,No redress indicator,None identified,None identified,473.55,331.77,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-031,2012-12-12,Conditional Sale,Online Broker,High commission,10925.0,3168.25,1201.75,10.2,False,True,False,False,False,False,True,False,False,False,False,249,Awaiting rules,12.83,0.05,2091.05,Fictional agreement created for portfolio demonstration.,High commission thresholds not met,Excluded / no redress indicator,None identified,Business-purpose agreement,665.33,933.54,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-032,2013-02-17,PCH,Dealer Group A,DCA,11600.0,4176.0,276,11.5,False,True,False,False,False,False,False,False,False,False,False,266,Evidence gathering,5.13,0.03,2797.92,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,876.96,576.48,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-033,2013-04-25,PCP,Dealer Group B,No flagged arrangement,12275.0,2209.5,319,12.8,False,False,False,False,False,False,False,False,False,False,False,283,Assessment,10.27,0.05,1502.46,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,Further investigation,Key agreement or commission evidence missing,None identified,464.0,391.5,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-034,2013-07-01,Hire Purchase,Independent Dealer,Contractual tie,12950.0,3237.5,362,14.1,False,True,True,False,False,False,False,False,False,False,False,300,QA,3.75,0.03,2233.88,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,679.88,520.94,90% commission cap,325.8,36.65,362.45,Urgent,True,Illustrative only — scheme partly suspended
MF-035,2013-09-06,Conditional Sale,Online Broker,High commission,13625.0,4360.0,1498.75,15.4,True,True,False,False,False,False,False,False,False,False,False,27,Awaiting rules,8.56,0.05,3052.0,Fictional agreement created for portfolio demonstration.,High commission thresholds not met,No redress indicator,None identified,None identified,915.6,1207.17,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-036,2013-11-12,PCH,Dealer Group A,DCA,14300.0,2002.0,448,16.7,False,True,True,False,False,False,False,False,False,False,False,44,Evidence gathering,1.9,0.03,1421.42,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,420.42,434.21,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-037,2014-01-18,PCP,Dealer Group B,No flagged arrangement,14975.0,3144.75,491,18.0,False,True,False,False,False,False,False,True,False,False,False,61,Assessment,6.47,0.05,2264.22,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,660.4,575.7,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-038,2014-03-26,Hire Purchase,Independent Dealer,Contractual tie,15650.0,4382.0,534,19.3,False,True,False,False,True,False,False,False,False,False,False,78,QA,11.22,0.03,3198.86,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Further investigation,Multiple representatives require resolution,None identified,920.22,727.11,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-039,2014-06-01,Conditional Sale,Online Broker,High commission,16325.0,5713.75,1795.75,20.6,False,True,False,False,False,False,False,False,False,False,False,95,Awaiting rules,4.27,0.05,4228.18,Fictional agreement created for portfolio demonstration.,High commission thresholds not met,No redress indicator,None identified,None identified,971.34,1383.55,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-040,2014-08-07,PCH,Dealer Group A,DCA,90000.0,15300.0,620,4.9,True,True,False,False,False,False,False,False,False,False,False,112,Evidence gathering,9.67,0.03,8415.0,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire; High-value loan threshold,2601.0,1610.5,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-041,2014-10-13,PCP,Dealer Group B,No flagged arrangement,17675.0,4242.0,663,6.2,False,True,False,False,False,False,False,False,True,False,False,129,Assessment,2.02,0.05,2375.52,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,Excluded / no redress indicator,None identified,No interest charged,721.14,692.07,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-042,2014-12-19,Hire Purchase,Independent Dealer,Contractual tie,4350.0,1348.5,706,7.5,False,True,False,False,False,False,False,False,False,False,False,146,QA,7.55,0.03,768.65,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,229.25,467.62,90% commission cap,467.62,105.92,573.54,Standard,True,Illustrative only — scheme partly suspended
MF-043,2015-02-24,Conditional Sale,Online Broker,High commission,5025.0,653.25,552.75,8.8,False,True,False,False,False,False,False,False,False,False,False,163,Awaiting rules,12.91,0.05,378.89,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,111.05,331.9,Adjusted credit-cost cap,331.9,214.24,546.14,Standard,True,Illustrative only — scheme partly suspended
MF-044,2015-05-02,PCH,Dealer Group A,DCA,5700.0,1140.0,792,10.1,False,False,False,False,False,False,False,False,False,True,False,180,Evidence gathering,5.71,0.03,672.6,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,Key agreement or commission evidence missing,Personal Contract Hire; APR in illustrative lowest 5% group,193.8,492.9,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-045,2015-07-08,PCP,Dealer Group B,No flagged arrangement,6375.0,1721.25,835,11.4,True,True,True,False,False,False,False,False,False,False,False,197,Assessment,10.57,0.05,1032.75,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,292.61,563.81,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-046,2015-09-13,Hire Purchase,Independent Dealer,Contractual tie,7050.0,2397.0,878,12.7,False,True,False,True,False,False,False,False,False,False,False,214,QA,3.3,0.03,1462.17,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,407.49,642.75,90% commission cap,642.75,63.63,706.38,Urgent,True,Illustrative only — scheme partly suspended
MF-047,2015-11-19,Conditional Sale,Online Broker,High commission,7725.0,1236.0,849.75,14.0,False,True,False,False,False,False,False,False,False,False,False,231,Awaiting rules,8.6,0.05,766.32,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,210.12,529.93,90% commission cap,529.93,227.87,757.8,Priority,True,Illustrative only — scheme partly suspended
MF-048,2016-01-25,PCH,Dealer Group A,DCA,8400.0,1932.0,964,15.3,False,True,False,False,False,False,False,False,False,False,False,248,Evidence gathering,1.72,0.03,1217.16,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,328.44,646.22,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-049,2016-04-01,PCP,Dealer Group B,No flagged arrangement,9075.0,2722.5,1007,16.6,False,True,False,False,False,False,False,False,False,False,False,265,Assessment,6.74,0.05,1742.4,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,462.83,734.91,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-050,2016-06-07,Hire Purchase,Independent Dealer,Contractual tie,9750.0,1170.0,1050,17.9,True,True,False,False,False,False,False,False,False,False,False,282,QA,12.0,0.03,760.5,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,No redress indicator,None identified,None identified,198.9,624.45,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-051,2016-08-13,Conditional Sale,Online Broker,High commission,10425.0,1980.75,1146.75,19.2,False,True,True,False,False,False,False,False,False,False,False,299,Awaiting rules,4.62,0.05,1307.3,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,336.73,741.74,90% commission cap,741.74,171.34,913.08,Urgent,True,Illustrative only — scheme partly suspended
MF-052,2016-10-19,PCH,Dealer Group A,DCA,11100.0,2886.0,1136,20.5,False,True,False,False,False,False,False,False,False,False,False,26,Evidence gathering,9.65,0.03,1933.62,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,490.62,813.31,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-053,2016-12-25,PCP,Dealer Group B,No flagged arrangement,11775.0,3885.75,1179,4.8,False,True,False,False,False,False,False,False,False,False,False,43,Assessment,2.93,0.05,2642.31,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,660.58,919.79,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-054,2017-03-02,Hire Purchase,Independent Dealer,Contractual tie,12450.0,1867.5,1222,6.1,False,True,True,False,False,False,False,False,False,False,False,60,QA,7.2,0.03,1288.58,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Indicatively eligible,None identified,None identified,317.48,769.74,90% commission cap,769.74,166.26,936.0,Urgent,True,Illustrative only — scheme partly suspended
MF-055,2017-05-08,Conditional Sale,Online Broker,High commission,13125.0,2887.5,1443.75,7.4,True,False,False,False,False,False,False,False,False,False,False,77,Awaiting rules,12.49,0.05,2021.25,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Further investigation,Key agreement or commission evidence missing,None identified,490.88,967.32,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-056,2017-07-14,PCH,Dealer Group A,DCA,13800.0,4002.0,108,8.7,False,True,False,False,False,False,False,False,False,False,False,94,Evidence gathering,5.76,0.03,2841.42,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire; Commission at or below de minimis level,680.34,394.17,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-057,2017-09-19,PCP,Dealer Group B,No flagged arrangement,14475.0,5211.0,151,10.0,False,True,False,False,True,False,False,False,False,False,False,111,Assessment,10.69,0.05,3751.92,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,Further investigation,Multiple representatives require resolution,None identified,885.87,518.43,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-058,2017-11-25,Hire Purchase,Independent Dealer,Contractual tie,15150.0,2727.0,194,11.3,False,True,False,False,False,True,False,False,False,False,False,128,QA,3.96,0.03,1990.71,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Excluded / no redress indicator,None identified,Prior court/FOS decision or accepted compensation,463.59,328.79,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-059,2018-01-31,Conditional Sale,Online Broker,High commission,15825.0,3956.25,1740.75,12.6,False,True,False,False,False,False,False,False,False,False,False,145,Awaiting rules,8.87,0.05,2927.62,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,672.56,1206.65,90% commission cap,1206.65,535.15,1741.8,Standard,True,Illustrative only — scheme partly suspended
MF-060,2018-04-08,PCH,Dealer Group A,DCA,90000.0,28800.0,280,13.9,True,True,False,False,False,False,False,False,False,False,False,162,Evidence gathering,1.25,0.03,15840.0,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire; High-value loan threshold,4896.0,2588.0,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-061,2018-06-14,PCP,Dealer Group B,No flagged arrangement,17175.0,2404.5,323,15.2,False,True,False,False,False,False,False,False,False,False,False,179,Assessment,6.72,0.05,1346.52,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,408.77,365.88,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
MF-062,2018-08-20,Hire Purchase,Independent Dealer,Contractual tie,17850.0,3748.5,366,16.5,False,True,False,False,False,False,True,False,False,False,False,196,QA,11.81,0.03,2136.65,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Excluded / no redress indicator,None identified,Business-purpose agreement,637.25,501.62,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-063,2018-10-26,Conditional Sale,Online Broker,High commission,4525.0,1267.0,497.75,17.8,False,True,True,False,False,False,False,False,False,False,False,213,Awaiting rules,4.14,0.05,734.86,Fictional agreement created for portfolio demonstration.,High commission thresholds met,Indicatively eligible,None identified,None identified,215.39,356.57,90% commission cap,356.57,73.81,430.38,Urgent,True,Illustrative only — scheme partly suspended
MF-064,2019-01-01,PCH,Dealer Group A,DCA,5200.0,1820.0,452,19.1,False,True,False,False,False,False,False,False,False,False,False,230,Evidence gathering,9.58,0.03,1073.8,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,309.4,380.7,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-065,2019-03-09,PCP,Dealer Group B,No flagged arrangement,5875.0,998.75,495,20.4,True,True,False,False,False,False,False,False,False,False,False,247,Assessment,2.21,0.05,599.25,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,169.79,332.39,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-066,2019-05-15,Hire Purchase,Independent Dealer,Contractual tie,6550.0,1572.0,538,4.7,False,False,False,False,False,False,False,False,False,True,False,264,QA,7.03,0.03,958.92,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,Excluded / no redress indicator,Key agreement or commission evidence missing,APR in illustrative lowest 5% group,267.24,402.62,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-067,2019-07-21,Conditional Sale,Online Broker,High commission,7225.0,2239.75,794.75,6.0,False,True,False,False,False,False,False,False,False,False,False,281,Awaiting rules,12.88,0.05,1388.65,Fictional agreement created for portfolio demonstration.,High commission thresholds not met,No redress indicator,None identified,None identified,380.76,587.75,Not applicable,0.0,0.0,0.0,Priority,True,Illustrative only — scheme partly suspended
MF-068,2019-09-26,PCH,Dealer Group A,DCA,7900.0,1027.0,624,7.3,False,True,True,False,False,False,False,False,False,False,False,298,Evidence gathering,5.1,0.03,647.01,Fictional agreement created for portfolio demonstration.,DCA indicator,Excluded / no redress indicator,None identified,Personal Contract Hire,174.59,399.3,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-069,2019-12-02,PCP,Dealer Group B,No flagged arrangement,8575.0,1715.0,667,8.6,False,True,False,True,False,False,False,False,False,False,False,25,Assessment,10.25,0.05,1097.6,Fictional agreement created for portfolio demonstration.,No flagged commission arrangement,No redress indicator,None identified,None identified,291.55,479.27,Not applicable,0.0,0.0,0.0,Urgent,True,Illustrative only — scheme partly suspended
MF-070,2020-02-07,Hire Purchase,Independent Dealer,Contractual tie,9250.0,2497.5,710,9.9,True,True,False,False,False,False,False,False,False,False,False,42,QA,3.53,0.03,1623.38,Fictional agreement created for portfolio demonstration.,Contractual tie indicator,No redress indicator,None identified,None identified,424.58,567.29,Not applicable,0.0,0.0,0.0,Standard,True,Illustrative only — scheme partly suspended
